id	region	num_voxels	x	y	z
0	Background	717224.0	-0.49194951646904883	-16.94859067738949	19.784853825304225
2001	Precentral_L	3526.0	-38.93023255813952	-6.961429381735684	49.64038570618264
2002	Precentral_R	3381.0	41.100857734398105	-9.549837326234837	50.80981958000592
2101	Frontal_Sup_L	3599.0	-18.772992497916093	33.48985829397054	40.95415393164768
2102	Frontal_Sup_R	4056.0	21.60305719921105	29.91025641025641	42.50443786982248
2111	Frontal_Sup_Orb_L	963.0	-16.824506749740394	45.919003115264786	-14.718587746625133
2112	Frontal_Sup_Orb_R	997.0	18.17853560682046	46.61785356068205	-15.494483450351055
2201	Frontal_Mid_L	4863.0	-33.7589965042155	31.489204194941408	34.13078346699568
2202	Frontal_Mid_R	5104.0	37.391849529780565	31.750783699059554	32.81426332288402
2211	Frontal_Mid_Orb_L	888.0	-30.88513513513513	49.1418918918919	-10.986486486486484
2212	Frontal_Mid_Orb_R	1015.0	32.89458128078818	51.27487684729064	-12.141871921182265
2301	Frontal_Inf_Oper_L	1038.0	-48.79576107899808	11.49132947976878	17.801541425818883
2302	Frontal_Inf_Oper_R	1399.0	49.92709077912795	13.675482487491053	20.19585418155826
2311	Frontal_Inf_Tri_L	2529.0	-45.890075128509295	28.666666666666657	12.582839066824832
2312	Frontal_Inf_Tri_R	2151.0	50.06136680613668	28.901906090190607	12.817294281729431
2321	Frontal_Inf_Orb_L	1690.0	-36.24023668639053	29.49230769230769	-13.459171597633137
2322	Frontal_Inf_Orb_R	1707.0	40.9103690685413	30.99472759226714	-13.258347978910372
2331	Rolandic_Oper_L	990.0	-47.406060606060606	-9.77575757575758	12.638383838383845
2332	Rolandic_Oper_R	1331.0	52.381667918858	-7.537190082644628	13.32982719759579
2401	Supp_Motor_Area_L	2147.0	-5.690731252911036	3.550069864927792	60.06427573358175
2402	Supp_Motor_Area_R	2371.0	8.246309574019406	-1.0932096161956935	60.512863770560955
2501	Olfactory_L	280.0	-8.26428571428572	13.864285714285728	-12.685714285714283
2502	Olfactory_R	289.0	10.124567474048447	14.664359861591691	-12.560553633217992
2601	Frontal_Sup_Medial_L	2992.0	-5.1737967914438485	47.887032085561486	29.63636363636364
2602	Frontal_Sup_Medial_R	2134.0	8.75070290534208	49.52858481724462	28.92689784442362
2611	Frontal_Med_Orb_L	719.0	-5.438108484005568	52.51738525730181	-8.856745479833101
2612	Frontal_Med_Orb_R	856.0	7.834112149532714	50.406542056074755	-8.516355140186917
2701	Rectus_L	852.0	-5.441314553990608	35.706572769953056	-19.568075117370896
2702	Rectus_R	745.0	8.002684563758393	34.451006711409406	-19.436241610738257
3001	Insula_L	1858.0	-35.410118406889126	5.440258342303565	2.1722282023681316
3002	Insula_R	1770.0	38.722033898305085	5.020338983050834	0.8135593220338961
4001	Cingulum_Ant_L	1400.0	-4.364285714285714	34.195714285714274	12.535714285714292
4002	Cingulum_Ant_R	1313.0	8.117288651942118	35.72277227722773	14.432597105864431
4011	Cingulum_Mid_L	1941.0	-5.882534775888715	-16.1009788768676	40.21432251416796
4012	Cingulum_Mid_R	2203.0	7.664094416704501	-10.197004085338179	38.43758511121199
